127.0.0.1 - - [01/May/2021:12:35:47 +0000] "HEAD /csvn HTTP/1.1" 302 0 
172.27.0.1 - - [01/May/2021:12:37:19 +0000] "GET / HTTP/1.1" 302 0 
172.27.0.1 - - [01/May/2021:12:37:19 +0000] "GET /csvn/ HTTP/1.1" 302 0 
172.27.0.1 - - [01/May/2021:12:37:19 +0000] "GET /csvn/login/auth;jsessionid=node02pim5u79na8tf7bpb6nwfqj0.node0 HTTP/1.1" 200 6212 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/css/svnedge-3.3.0.css HTTP/1.1" 200 5334 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/images/masthead/logo.png HTTP/1.1" 200 4086 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/js/bootstrap-2.3.1.js HTTP/1.1" 200 61752 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/images/masthead/small-logo.png HTTP/1.1" 200 5574 
172.27.0.1 - - [01/May/2021:12:37:20 +0000] "GET /csvn/static/images/icons/favicon.ico HTTP/1.1" 200 1150 
172.27.0.1 - - [01/May/2021:12:37:30 +0000] "POST /csvn/login/authenticate HTTP/1.1" 302 0 
172.27.0.1 - - [01/May/2021:12:37:32 +0000] "GET /csvn/ HTTP/1.1" 200 10959 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/css/svnedge-3.3.0.css HTTP/1.1" 200 5334 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/jquery-tablesorter.js HTTP/1.1" 200 17343 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/bootstrap-2.3.1.js HTTP/1.1" 200 61752 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/images/masthead/logo.png HTTP/1.1" 200 4086 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/bootstrap-image-gallery.min.js HTTP/1.1" 200 5259 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/js/load-image.min.js HTTP/1.1" 200 1277 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/images/fping_up.gif HTTP/1.1" 200 639 
172.27.0.1 - - [01/May/2021:12:37:33 +0000] "GET /csvn/static/images/masthead/small-logo.png HTTP/1.1" 200 5574 
172.27.0.1 - - [01/May/2021:12:37:48 +0000] "GET /csvn/server/edit HTTP/1.1" 200 16907 
172.27.0.1 - - [01/May/2021:12:37:49 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:37:49 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:37:49 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
